f,epsilon,Q1,Q2,omega_star,beta1_star,absX1,absX3,A5_over_X1,A7_over_X1,linewidths,alpha_pole,arg_xi_lo,im_eta3,im_eta5,beta1_src1,beta1_src13,beta1_src135,aug_residual,floquet_radius,det_J,cond_J
1.000000000000000000e+00,1.000000000000000000e+00,3.333330000000000126e+01,3.125000000000000000e+01,2.597280970367724651e-01,2.381542763447584699e-01,2.923570214800636502e-01,2.005709714693069045e-31,2.869438560395092506e-04,1.173112899202759838e-05,1.304037778357452770e-01,1.985550569939634191e-02,4.395119434159117794e-03,-1.193054784099454018e-03,-3.258544647803920686e-03,2.311198236673302486e-01,2.389011057445974417e-01,2.381541835857351463e-01,2.033509949677332809e-16,6.944024618648036995e-01,-3.271460612340185489e-05,5.051877126718659738e+00
1.250000000000000000e+00,8.000000000000000444e-01,4.166662500000000335e+01,3.906250000000000000e+01,2.603806203639669747e-01,2.379735918253017002e-01,2.924604690663071271e-01,6.542920257071694084e-18,2.944872811563015971e-04,1.169956378278315977e-05,3.684019930211731575e-01,1.588441349631009025e-02,3.541412496322179828e-03,-9.631327170038629735e-04,-2.622982408702861316e-03,2.310391501221514821e-01,2.388445513313516011e-01,2.379734687859099140e-01,1.510345567793727564e-16,nan,nan,nan
1.562500000000000000e+00,6.400000000000000133e-01,5.208328124999999886e+01,4.882812500000000000e+01,2.607561871366133044e-01,2.378683725723428066e-01,2.925203936977239239e-01,3.484417796196581327e-31,2.986908167958919917e-04,1.168182720217282681e-05,6.082755803465342836e-01,1.270753537211072315e-02,2.844939960849690065e-03,-7.745670559617199441e-04,-2.105911191260466039e-03,2.309918510211931841e-01,2.388113868953760655e-01,2.378682317765872245e-01,2.779053829785455636e-16,nan,nan,nan
1.953125000000000000e+00,5.120000000000000107e-01,6.510410156250000568e+01,6.103515625000000000e+01,2.609832150476747437e-01,2.378043269334555176e-01,2.925567546879870306e-01,5.784861452435492814e-31,3.011867016413480487e-04,1.167125693266242255e-05,8.720043567182641508e-01,1.016603063993187610e-02,2.281707334333283720e-03,-6.216348184921269716e-04,-1.688394277196705222e-03,2.309629467325348129e-01,2.387911178654824884e-01,2.378041752851480783e-01,2.128481306831119453e-16,nan,nan,nan
2.000000000000000000e+00,5.000000000000000000e-01,6.666660000000000252e+01,6.250000000000000000e+01,2.610015003282483148e-01,2.377991539807813581e-01,2.925596877756865832e-01,1.297030682001441049e-27,3.013863032254493111e-04,1.167041052280606022e-05,9.021416074876651425e-01,9.927764485180762266e-03,2.228683928725419018e-03,-6.072216408925395787e-04,-1.649111674547666618e-03,2.309606083988930969e-01,2.387894780379033743e-01,2.377990014544431874e-01,3.961937001120003110e-16,8.340514295640260034e-01,-2.251919916083063844e-05,7.540745543038948284e+00
2.500000000000000000e+00,4.000000000000000222e-01,8.333325000000000671e+01,7.812500000000000000e+01,2.611351912924182450e-01,2.377612660398493727e-01,2.925811531691238643e-01,2.521803763173005776e-31,3.028393820796496626e-04,1.166424439690786999e-05,1.211841660482027461e+00,7.942212704951157054e-03,1.785608482278902738e-03,-4.866940903111237858e-04,-1.320983621568662175e-03,2.309434649043167476e-01,2.387774552764216074e-01,2.377611070758946232e-01,2.442648617499291223e-16,nan,nan,nan
3.125000000000000000e+00,3.200000000000000067e-01,1.041665624999999977e+02,9.765625000000000000e+01,2.612191381878312679e-01,2.377374156159109964e-01,2.925946500478798784e-01,3.909681153411203533e-33,3.037462252479714540e-04,1.166039260599337182e-05,1.580862628993171537e+00,6.353770735748075216e-03,1.429827417946956825e-03,-3.898172756043770328e-04,-1.057640214819104661e-03,2.309326577996452523e-01,2.387698759052400144e-01,2.377372525934181025e-01,1.813572299159195152e-16,nan,nan,nan
3.906250000000000000e+00,2.560000000000000053e-01,1.302082031250000114e+02,1.220703125000000000e+02,2.612722336591157823e-01,2.377223065360516696e-01,2.926031940025015654e-01,1.435221520370291755e-18,3.043176124762026423e-04,1.165796435045240335e-05,2.028306477515553929e+00,5.083016881347060534e-03,1.144541482122434428e-03,-3.120880618219416336e-04,-8.465446537533855920e-04,2.309258054764475321e-01,2.387650700170845519e-01,2.377221409400753771e-01,1.587456042876018968e-16,nan,nan,nan
4.000000000000000000e+00,2.500000000000000000e-01,1.333332000000000050e+02,1.250000000000000000e+02,2.612765850344584417e-01,2.377210674651147049e-01,2.926038944639752781e-01,6.139452170757275172e-18,3.043643655688757369e-04,1.165776561881213012e-05,2.081368858272356182e+00,4.963883696735199580e-03,1.117770717724304386e-03,-3.047922607716319543e-04,-8.267384001553751286e-04,2.309252433191170406e-01,2.387646757425333777e-01,2.377209016580081602e-01,1.520637312520043905e-16,9.133515946822867715e-01,-1.196635203688940617e-05,1.437244243983442438e+01
5.000000000000000000e+00,2.000000000000000111e-01,1.666665000000000134e+02,1.562500000000000000e+02,2.613087334573879206e-01,2.377119092023909641e-01,2.926090707309624284e-01,3.740473290536580735e-31,3.047094357559617631e-04,1.165629864948138256e-05,2.642188891127550399e+00,3.971107096979772932e-03,8.945384134105759067e-04,-2.439447660889292263e-04,-6.615955298201323847e-04,2.309210872989707342e-01,2.387617608555114013e-01,2.377117418343750455e-01,2.147570032282003221e-16,nan,nan,nan
