lambda,omega,beta1,abs_X1,abs_X1_5,abs_X2_3,det_control_J,cond_control_J
9.800001615671222188e-01,2.596516750638499516e-01,2.381755234176297087e-01,2.923452882319870771e-01,8.423264443201227260e-05,1.554631982688272664e-03,3.262936880515185259e-05,5.060543844953560466e+00
9.570003560048306879e-01,2.595617635244202859e-01,2.382004668821151028e-01,2.923314904876589404e-01,8.463289361361096353e-05,1.553920051683496109e-03,3.251304457799694556e-05,5.073559935885794125e+00
9.305505921949253079e-01,2.594554852069427264e-01,2.382298758538784478e-01,2.923151902928192714e-01,8.510120031007830884e-05,1.553078796135345637e-03,3.235182211238628742e-05,5.093174087761272339e+00
9.001333825403663447e-01,2.593291080150733618e-01,2.382647412730540259e-01,2.922958204149327388e-01,8.564972645231836400e-05,1.552078828891730348e-03,3.212428442433523900e-05,5.123014207413658205e+00
8.651536200556663170e-01,2.591776525849237012e-01,2.383063756288003876e-01,2.922726252832556493e-01,8.629222577614900386e-05,1.550880980411646322e-03,3.179611601388423456e-05,5.169172005304222495e+00
8.249269385187351089e-01,2.589942204360219935e-01,2.383565831533376034e-01,2.922445599473160738e-01,8.704296609345046193e-05,1.549431043295200526e-03,3.130999950271763952e-05,5.242445909805386606e+00
7.786663301481588917e-01,2.587687426537387259e-01,2.384179760063522002e-01,2.922101020127085835e-01,8.791299986216300280e-05,1.547649988895536104e-03,3.056490333886393744e-05,5.363471057505802442e+00
7.286671079886145597e-01,2.585032735263679826e-01,2.384898056407438460e-01,2.921695895906548102e-01,8.884023327487241054e-05,1.545554803222455760e-03,2.945402357808066989e-05,5.560447139089368385e+00
6.786680696671160140e-01,2.582079723529092652e-01,2.385691395672940307e-01,2.921245969564903455e-01,8.971034288193267879e-05,1.543226437196813447e-03,2.788526655907270845e-05,5.870777271341691694e+00
6.286693249121999560e-01,2.578703234710199022e-01,2.386591277510692055e-01,2.920732453094680436e-01,9.043393610872832726e-05,1.540567133715517456e-03,2.561439518162173247e-05,6.392529639581914225e+00
5.786711225705851724e-01,2.574654318411401799e-01,2.387660361644135532e-01,2.920117976047312824e-01,9.080786293242083210e-05,1.537382453060518253e-03,2.216736045013701948e-05,7.392305591496268313e+00
5.286742634267109775e-01,2.569261045094268225e-01,2.389067779602139230e-01,2.919301675600484702e-01,9.023305256092292790e-05,1.533147619328444761e-03,1.634658137724908275e-05,1.003024601928582271e+01
5.036776974124045347e-01,2.565267961972257926e-01,2.390097806755122900e-01,2.918698909453697476e-01,8.886313641464252768e-05,1.530017625280301113e-03,1.125484903734229799e-05,1.454960671959664431e+01
4.893078771665044235e-01,2.561495170062236260e-01,2.391061810647289454e-01,2.918130643057486595e-01,8.676263405424748112e-05,1.527064567434465586e-03,6.037995705376531159e-06,2.702588555799021108e+01
4.851805275503784376e-01,2.559413454528619014e-01,2.391589949393619075e-01,2.917817605034399575e-01,8.526782789229083673e-05,1.525436938505133873e-03,3.081548752309164360e-06,5.279011256371032346e+01
4.839988977247587920e-01,2.558178579587103707e-01,2.391901988138081525e-01,2.917632082712814379e-01,8.427241189374438143e-05,1.524472028650410843e-03,1.326618250693425489e-06,1.223458884793193562e+02
4.836702874290860765e-01,2.557208413640950639e-01,2.392146485798760658e-01,2.917486418751987221e-01,8.343603974555648800e-05,1.523714311511307866e-03,4.441456277600210467e-08,3.646979463932934777e+03
4.839510029441025929e-01,2.558173131053957938e-01,2.391903376619144983e-01,2.917631264194223695e-01,8.426794828048364886e-05,1.524467813558058214e-03,1.318883948698570296e-06,1.230610752910071284e+02
4.838972885862460327e-01,2.557981614691672290e-01,2.391951673053584193e-01,2.917602503365701039e-01,8.410639559481197835e-05,1.524318165120345549e-03,1.047506105992424187e-06,1.548847376282584207e+02
4.838343854097456598e-01,2.557827409897367454e-01,2.391990555175227684e-01,2.917579347813998858e-01,8.397505428390942064e-05,1.524197712557475402e-03,8.292184096698879795e-07,1.955962707853083202e+02
4.837641598606569615e-01,2.557580829091137264e-01,2.392052699553046669e-01,2.917542325118282487e-01,8.376255817460063113e-05,1.524005117703939195e-03,4.806391717650241752e-07,3.372786838261849880e+02
4.836906267417871996e-01,2.557153777032191155e-01,2.392160238005310302e-01,2.917478217766912296e-01,8.338750181234975023e-05,1.523671632423973313e-03,1.213661429334762746e-07,1.334476412531869755e+03
4.838165086123210057e-01,2.556704248239605737e-01,2.392273321165802602e-01,2.917410752667728424e-01,8.298290481421994008e-05,1.523320598675337485e-03,7.527189978392208625e-07,2.149529775324643026e+02
4.839267276042435451e-01,2.556435684144117704e-01,2.392340821590552280e-01,2.917370454752045705e-01,8.273661418210133812e-05,1.523110923138608352e-03,1.128399251667215266e-06,1.432995906448232404e+02
4.840551629760119212e-01,2.556207289372318670e-01,2.392398191702513333e-01,2.917336188958485343e-01,8.252447936644742717e-05,1.522932625634117491e-03,1.446945037083462252e-06,1.116920440167252195e+02
4.842037131170419673e-01,2.555994221976448655e-01,2.392451683423039432e-01,2.917304226634045428e-01,8.232438387884440892e-05,1.522766307374807514e-03,1.743274450253323799e-06,9.265877648981118853e+01
4.843750835967683965e-01,2.555786650219148970e-01,2.392503769160151672e-01,2.917273092350883834e-01,8.212743269106853009e-05,1.522604291818394203e-03,2.031133877049010476e-06,7.948656461940048246e+01
4.845725468909641287e-01,2.555579266962783591e-01,2.392555781726834752e-01,2.917241989925947743e-01,8.192869458999942794e-05,1.522442436072848123e-03,2.317871678407599707e-06,6.961763917543657954e+01
4.847999318559890192e-01,2.555368642058783446e-01,2.392608580869642620e-01,2.917210404998739071e-01,8.172486162528172146e-05,1.522278063305668172e-03,2.608165660311260277e-06,6.183617401765002342e+01
4.850616735695476023e-01,2.555152259646068513e-01,2.392662795573465562e-01,2.917177960531407432e-01,8.151339494574830972e-05,1.522109210970574132e-03,2.905374983404842520e-06,5.547974005727866142e+01
4.853628898938750491e-01,2.554928090405805818e-01,2.392718931668453286e-01,2.917144352612379143e-01,8.129214229768724450e-05,1.521934296808245260e-03,3.212137213906011763e-06,5.015202451439915166e+01
4.857094768689682596e-01,2.554694374297754589e-01,2.392777426431164922e-01,2.917109317857041750e-01,8.105914081242664431e-05,1.521751949226804370e-03,3.530667483594438641e-06,4.559910944862883042e+01
4.861082216528143096e-01,2.554449498605775304e-01,2.392838679175147698e-01,2.917072615117266010e-01,8.081250341171424933e-05,1.521560912120394982e-03,3.862921930325287370e-06,4.164953149640912500e+01
4.865669339902232715e-01,2.554191923682375687e-01,2.392903069815519312e-01,2.917034014353391269e-01,8.055034679734892808e-05,1.521359986946455890e-03,4.210692217287608570e-06,3.818257426023107826e+01
4.870945982467477786e-01,2.553920134402612452e-01,2.392970970941360742e-01,2.916993289368187692e-01,8.027074162294941465e-05,1.521147994890471910e-03,4.575661826511295654e-06,3.511030683312049661e+01
4.877015487273569372e-01,2.553632606266032501e-01,2.393042756177883590e-01,2.916950212742802639e-01,7.997167511762935969e-05,1.520923750481536487e-03,4.959439261402202919e-06,3.236683632920163234e+01
4.883996715801151023e-01,2.553327780188187068e-01,2.393118806335210180e-01,2.916904552080780699e-01,7.965102097066213737e-05,1.520686042007354452e-03,5.363576190946605071e-06,2.990158074750470973e+01
4.892026371650780581e-01,2.553004042583672528e-01,2.393199514195468725e-01,2.916856067050627166e-01,7.930651359311545402e-05,1.520433616077112573e-03,5.789574748349316281e-06,2.767489711108305883e+01
4.901261673952097553e-01,2.552659708704813624e-01,2.393285288446369563e-01,2.916804506921972795e-01,7.893572513663590679e-05,1.520165164744703527e-03,6.238886214100227570e-06,2.565514899211616751e+01
4.911883432566609420e-01,2.552293007960833027e-01,2.393376557077314115e-01,2.916749608404666794e-01,7.853604440166163641e-05,1.519879314199297895e-03,6.712902264069519685e-06,2.381668424414453611e+01
4.924099585110008892e-01,2.551902070384509669e-01,2.393473770441958970e-01,2.916691093666635148e-01,7.810465726150866972e-05,1.519574614375963396e-03,7.212939075229647129e-06,2.213840774775515641e+01
4.938149264908582303e-01,2.551484913679042954e-01,2.393577404123474750e-01,2.916628668446350492e-01,7.763852859558762073e-05,1.519249529047040194e-03,7.740214318634222354e-06,2.060275286452111487e+01
4.954307479423780691e-01,2.551039430441693900e-01,2.393687961696480959e-01,2.916562020200523797e-01,7.713438603588654947e-05,1.518902426083604089e-03,8.295816478762694832e-06,1.919492660092509340e+01
4.972890490642445371e-01,2.550563375263881216e-01,2.393805977452580502e-01,2.916490816243260120e-01,7.658870612804181391e-05,1.518531567657431958e-03,8.880666132813263349e-06,1.790234670512380433e+01
4.994262002676711498e-01,2.550054351472853531e-01,2.393932019138670930e-01,2.916414701843015878e-01,7.599770381793398487e-05,1.518135100205946940e-03,9.495468214614340369e-06,1.671421595229446311e+01
5.018840277618640267e-01,2.549509797321601878e-01,2.394066690745296488e-01,2.916333298250115558e-01,7.535732651391549108e-05,1.517711044015875293e-03,1.014065482091392755e-05,1.562119575168185825e+01
5.047106318861479535e-01,2.548926971459477553e-01,2.394210635374160734e-01,2.916246200631791297e-01,7.466325435368163072e-05,1.517257282302646258e-03,1.081631756545295105e-05,1.461515333497208857e+01
5.079613281987981344e-01,2.548302937531035095e-01,2.394364538208199056e-01,2.916152975894300559e-01,7.391090872746936035e-05,1.516771549675572945e-03,1.152212936153270862e-05,1.368896373331613248e+01
5.116997297346326246e-01,2.547634547758194645e-01,2.394529129603601425e-01,2.916053160373195952e-01,7.309547157256760679e-05,1.516251419886240721e-03,1.225725537153083506e-05,1.283635324003437006e+01
5.159989916055700565e-01,2.546918425362746929e-01,2.394705188320124523e-01,2.915946257373599471e-01,7.221191844547599403e-05,1.515694292760735949e-03,1.302025369773664396e-05,1.205177466156551880e+01
5.209432422947388730e-01,2.546150945684002576e-01,2.394893544903882732e-01,2.915831734542502218e-01,7.125506887303811301e-05,1.515097380216601014e-03,1.380896735379396707e-05,1.133030717256251307e+01
5.266292296475146850e-01,2.545328215840539365e-01,2.395095085234947296e-01,2.915709021054927463e-01,7.021965794242490699e-05,1.514457691263153575e-03,1.462040990337899796e-05,1.066757546341284169e+01
5.331682137635009866e-01,2.544446052776292433e-01,2.395310754250739582e-01,2.915577504595127656e-01,6.910043345390528180e-05,1.513772015879608643e-03,1.545064907804398417e-05,1.005968395091761103e+01
5.406881438241825100e-01,2.543499959519671672e-01,2.395541559854805769e-01,2.915436528113226067e-01,6.789228315140620484e-05,1.513036907659562249e-03,1.629469419443325728e-05,9.503163135287671537e+00
5.493361614462644038e-01,2.542485099470324084e-01,2.395788577019525301e-01,2.915285386336467499e-01,6.659039646674940220e-05,1.512248665102832509e-03,1.714639546059524129e-05,8.994925632123047521e+00
5.592814795393030725e-01,2.541396268511406653e-01,2.396052952090017840e-01,2.915123322012987961e-01,6.519046475347588839e-05,1.511403311426726343e-03,1.799836561679421464e-05,8.532229988062534076e+00
5.707186929930480046e-01,2.540227864725848050e-01,2.396335907295373269e-01,2.914949521864352855e-01,6.368892303480584651e-05,1.510496572758126795e-03,1.884193634088368838e-05,8.112650839606137865e+00
5.838715859688038412e-01,2.538973855472835273e-01,2.396638745472084442e-01,2.914763112221351316e-01,6.208323475865994850e-05,1.509523854555795729e-03,1.966716371239635129e-05,7.734054164330011361e+00
5.989975102852764799e-01,2.537627741555496530e-01,2.396962855003123283e-01,2.914563154315465421e-01,6.037221890565787325e-05,1.508480216098310447e-03,2.046289793743840204e-05,7.394576718117400915e+00
6.163924205630091357e-01,2.536182518182191759e-01,2.397309714974708295e-01,2.914348639196202573e-01,5.855641609028017767e-05,1.507360342857473222e-03,2.121693145300755358e-05,7.092608762341156670e+00
6.363966646411276518e-01,2.534630632391718930e-01,2.397680900551179273e-01,2.914118482241971342e-01,5.663848721621736487e-05,1.506158516559254201e-03,2.191623729702809820e-05,6.826779530867107759e+00
6.594016425572190032e-01,2.532963936576752007e-01,2.398078088566864552e-01,2.913871517229488228e-01,5.462363512695760684e-05,1.504868582714413748e-03,2.254730380817767738e-05,6.595944838653967857e+00
6.858574643748081012e-01,2.531173637699652978e-01,2.398503063332134699e-01,2.913606489923806220e-01,5.252003698688761810e-05,1.503483915378426607e-03,2.309656394648087707e-05,6.399176453176208312e+00
7.162817566855899098e-01,2.529250241750176098e-01,2.398957722649542046e-01,2.913322051148083403e-01,5.033927331078262975e-05,1.501997378875170311e-03,2.355090697232826465e-05,6.235753075265860979e+00
7.512697900876317281e-01,2.527183492945197507e-01,2.399444084034707270e-01,2.913016749289099594e-01,4.809673890155620100e-05,1.500401286190353482e-03,2.389824843291067782e-05,6.105152816520847736e+00
7.915061257859709043e-01,2.524962307116424554e-01,2.399964291136157668e-01,2.912689022191660704e-01,4.581202114613259596e-05,1.498687353708741832e-03,2.412812254243092472e-05,6.007047366368649222e+00
8.377780091839591714e-01,2.522574698673075710e-01,2.400520620348660927e-01,2.912337188392343235e-01,4.350923070688774336e-05,1.496846651933154406e-03,2.423225168911830217e-05,5.941298116892460790e+00
8.877773780916342616e-01,2.520157968458760500e-01,2.401080757418415923e-01,2.911981535801076437e-01,4.134609503725386435e-05,1.494985233908083981e-03,2.421014630657406444e-05,5.908973288037117300e+00
9.377768183560439841e-01,2.517880899442923037e-01,2.401605814933662209e-01,2.911646870628205042e-01,3.946575476069707952e-05,1.493232979086728078e-03,2.409153326210826884e-05,5.904563983872369803e+00
9.877763151639235017e-01,2.515720956859891499e-01,2.402101462383915975e-01,2.911329808874908442e-01,3.782484249884520647e-05,1.491572280030331425e-03,2.390646207503221976e-05,5.920038372703796625e+00
1.037775857891173992e+00,2.513661085033377374e-01,2.402571990522038292e-01,2.911027789169252089e-01,3.638924547226514108e-05,1.489989809405846974e-03,2.367561592266124125e-05,5.950084681427396660e+00
