F,kappa_star,omega_fold,beta1_fold,abs_X3,max_abs_d,min_tangent_K
2.580000000000000071e-01,1.002293083956068281e-01,2.566810822006856951e-01,2.348293106389496565e-01,1.986555011679001697e-24,2.380607241498166604e-01,4.922369085114524506e-02
2.600000000000000089e-01,1.021376661027202509e-01,2.567804479185746835e-01,2.336738908711873952e-01,7.051560880498643730e-26,2.392734439198690444e-01,5.061106323397301238e-02
2.620000000000000107e-01,1.040320917431911685e-01,2.569818700242489928e-01,2.325053223217059262e-01,3.871154238359059598e-25,2.404898933604495415e-01,5.198024181552281936e-02
2.700000000000000178e-01,1.117354743930389915e-01,2.575416140458283154e-01,2.278877158691918203e-01,5.800250117780919415e-26,2.452394501503407931e-01,5.760732527400166253e-02
2.800000000000000266e-01,1.215941623125298549e-01,2.585160409865330244e-01,2.220339853667888663e-01,4.166214813409245985e-26,2.509707521511699291e-01,6.490647572073829363e-02
2.999999999999999889e-01,1.418558789435464262e-01,2.603844092654479248e-01,2.105269521444575742e-01,2.440676924036855964e-25,2.618023267255996100e-01,8.016946649250258905e-02
3.200000000000000067e-01,1.626595378035506911e-01,2.623995060839774962e-01,1.993336421252111246e-01,1.164940335371203198e-24,2.718996056542215545e-01,9.612308180412162950e-02
3.400000000000000244e-01,1.838297825319120393e-01,2.644743431102121178e-01,1.885896639720485435e-01,2.334077868293425729e-24,2.813642503902961112e-01,1.125805252739881246e-01
3.599999999999999867e-01,2.051826636370878976e-01,2.666081161359005747e-01,1.783760912179881419e-01,3.355804843220260972e-25,2.903039004284961311e-01,1.293339444934895333e-01
4.000000000000000222e-01,2.479885325499558424e-01,2.711452189842942784e-01,1.595604998212202807e-01,2.502265738546805818e-24,3.068894786913899386e-01,1.632254956316300798e-01
4.500000000000000111e-01,3.009978151362010523e-01,2.768817596066039388e-01,1.391428250535068911e-01,1.291060662241265729e-24,3.257785292422072376e-01,2.054793300325069572e-01
5.000000000000000000e-01,3.529559630645568991e-01,2.827049052683850983e-01,1.217212460064577007e-01,1.025414222977904477e-23,3.431102929210184671e-01,2.470037572670445158e-01
