kappa,arm_0A_1B_2apex,omega_star,beta1_star,abs_X3,spectral_radius
1.000000000000000056e-01,0.000000000000000000e+00,2.597280970367650266e-01,2.381542763447589972e-01,1.156227949857734222e-17,6.944024618656141623e-01
1.000000000000000056e-01,1.000000000000000000e+00,2.515208688156196914e-01,2.402218673595582776e-01,7.140772155079812226e-18,6.861715623739731429e-01
1.100000000000000006e-01,0.000000000000000000e+00,2.600396907060557594e-01,2.309925301899829198e-01,1.545845829660171664e-17,6.943008645096003795e-01
1.100000000000000006e-01,1.000000000000000000e+00,2.534195111901378361e-01,2.328876542839479480e-01,2.544660580961776207e-18,6.877013299492531484e-01
1.199999999999999956e-01,0.000000000000000000e+00,2.604075763717732528e-01,2.241399411404980113e-01,7.916648327574364152e-18,6.942102759971587878e-01
1.199999999999999956e-01,1.000000000000000000e+00,2.552911918213234821e-01,2.257698658731441266e-01,1.605806321044241191e-17,6.891401101032743615e-01
1.260000000000000009e-01,0.000000000000000000e+00,2.606260454043335950e-01,2.201774674580259661e-01,1.696401421093661985e-17,6.941351687356153155e-01
1.260000000000000009e-01,1.000000000000000000e+00,2.564309962784676600e-01,2.215913633873904387e-01,1.096271821918762015e-17,6.899927671267740426e-01
1.300000000000000044e-01,0.000000000000000000e+00,2.607548322109288774e-01,2.176014498382020379e-01,2.105683625940079911e-18,6.940617481539331779e-01
1.300000000000000044e-01,1.000000000000000000e+00,2.572137734360266381e-01,2.188372458817545718e-01,1.147140821417709741e-17,6.905733908303669510e-01
1.340000000000000080e-01,0.000000000000000000e+00,2.608507040702120472e-01,2.150843653507681641e-01,1.058320732059703516e-17,6.939511739291676085e-01
1.340000000000000080e-01,1.000000000000000000e+00,2.580342542404765460e-01,2.161001530865270248e-01,1.823923998212231311e-17,6.911831897117033385e-01
1.370000000000000107e-01,0.000000000000000000e+00,2.608764758208622636e-01,2.132443888541480093e-01,1.336596917557678487e-17,6.938201836068372819e-01
1.370000000000000107e-01,1.000000000000000000e+00,2.586988515846643799e-01,2.140484501915526361e-01,1.267283761338862346e-17,6.916838190602415670e-01
1.390000000000000124e-01,0.000000000000000000e+00,2.608446782375110073e-01,2.120509742192692171e-01,8.812468695237355450e-18,6.936837123954853190e-01
1.390000000000000124e-01,1.000000000000000000e+00,2.591923558729438692e-01,2.126703829818946401e-01,2.114146625884137531e-17,6.920646089595759998e-01
1.400000000000000133e-01,0.000000000000000000e+00,2.607968712938908418e-01,2.114709385897499683e-01,9.550675050472964139e-18,6.935839444251188368e-01
1.400000000000000133e-01,1.000000000000000000e+00,2.594714504286106949e-01,2.119715021945949296e-01,7.792510171149319572e-18,6.922859364791792425e-01
1.409999999999999865e-01,0.000000000000000000e+00,2.606983226070542226e-01,2.109134429420101986e-01,9.941200948769402405e-18,6.934343689459052662e-01
1.409999999999999865e-01,1.000000000000000000e+00,2.598015743802806754e-01,2.112546017661834641e-01,1.171764001172130409e-17,6.925566856574121299e-01
1.418558789434946066e-01,2.000000000000000000e+00,2.603844092653325726e-01,2.105269521445319869e-01,4.110510582844614620e-14,6.930817131123765407e-01
