zeta2,Q2,omega_star,beta1_star,absX1,absX3,A5_over_X1,A7_over_X1,d5_over_X1,linewidths,floquet_radius,arg_xi_lo,im_eta3,im_eta5,aug_residual,beta1_src1,beta1_src13,beta1_src135,mag_removed_3,mag_removed_5,alpha_pole,det_err
2.000000000000000042e-02,3.125000000000000000e+01,2.597280970367695785e-01,2.381542763447589695e-01,2.923570214800632061e-01,1.205552808076538300e-24,2.869438560396010284e-04,1.173112899202782878e-05,1.677407092025658695e-03,1.304037778350295718e-01,6.944024618648022562e-01,4.395119434158985955e-03,-1.193054784099470281e-03,-3.258544647805510994e-03,1.963209712279912869e-17,2.311198236673306650e-01,2.389011057445976915e-01,2.381541835857352019e-01,8.527273596701372416e-01,9.998119105069609436e-01,1.985550569939634191e-02,6.309397448944764619e-13
1.600000000000000033e-02,3.906250000000000000e+01,2.603889231092577083e-01,2.379755703013032853e-01,2.924586020848726764e-01,9.136936951576855993e-28,2.938229859134163435e-04,1.167183997944066049e-05,1.695298309836504791e-03,3.690016047851957803e-01,nan,3.541725134771457357e-03,-9.636044148998539061e-04,-2.622885706249742429e-03,3.037435619848645162e-17,2.310380505165403331e-01,2.388437439786445238e-01,2.379754480710978282e-01,8.496897021399414385e-01,9.998222081570750097e-01,1.597110484085156878e-02,nan
1.280000000000000061e-02,4.882812500000000000e+01,2.607785050079576838e-01,2.378723333435999454e-01,2.925186061329875242e-01,4.349541912422414307e-28,2.973630442944227088e-04,1.161884297030844308e-05,1.702934477814552162e-03,6.095731535978892168e-01,nan,2.845616729340169453e-03,-7.754880200872352192e-04,-2.105781586114621826e-03,2.266411140595825445e-17,2.309890534779193427e-01,2.388094664744610796e-01,2.378721938924474866e-01,8.481031103087892653e-01,9.998283734363789810e-01,1.286354683385412812e-02,nan
1.024000000000000084e-02,6.103515624999999289e+01,2.610246060075480656e-01,2.378105901961239943e-01,2.925565084181020459e-01,2.786246403135995697e-29,2.991322065054651479e-04,1.156441045347364843e-05,1.704523250368280684e-03,8.741833771539769815e-01,nan,2.282715592256485439e-03,-6.229422747284405447e-04,-1.688252357712662988e-03,2.214336455810928614e-17,2.309579057316772377e-01,2.387878013212650641e-01,2.378104403179296666e-01,8.474317268710617190e-01,9.998321264395473307e-01,1.037743114888889373e-02,nan
8.192000000000001364e-03,7.629394531249998579e+01,2.611896782033353293e-01,2.377735707599027692e-01,2.925818777393238701e-01,2.008784986032502373e-25,2.998202815185955572e-04,1.150376151485575127e-05,1.701935691277695582e-03,1.179850139695661326e+00,nan,1.829517715407045142e-03,-4.999205073332724496e-04,-1.352392100464713809e-03,9.348228691359008437e-16,2.309370464291985170e-01,2.387734458687729711e-01,2.377734145326075577e-01,8.473990248969140993e-01,9.998343742653194033e-01,8.388471089563864780e-03,nan
6.553600000000001438e-03,9.536743164062498579e+01,2.613087263834543705e-01,2.377519714494330805e-01,2.926000938301613341e-01,1.796955519513126328e-24,2.997704644077544243e-04,1.143305400869920271e-05,1.696030575810000005e-03,1.543621722762932302e+00,nan,1.465541096541109634e-03,-4.010149791986595950e-04,-1.082800364829201219e-03,2.363164916151018889e-16,2.309221398278769599e-01,2.387633653948289802e-01,2.377518114346600098e-01,8.478568806879025477e-01,9.998356452351430113e-01,6.797248012725395916e-03,nan
5.242880000000001844e-03,1.192092895507812074e+02,2.614030450740897349e-01,2.377403497007438415e-01,2.926144330854487108e-01,5.516397223031987771e-25,2.991568240893250122e-04,1.134865844242045878e-05,1.687126207082590172e-03,1.984706739581255430e+00,nan,1.173648782403567507e-03,-3.216435270611832549e-04,-8.666759569010945140e-04,8.924803595424559845e-17,2.309105151867245354e-01,2.387556991220644576e-01,2.377401875699793610e-01,8.487326477494935295e-01,9.998362575018376885e-01,5.524228301325900814e-03,nan
5.000000000000000104e-03,1.250000000000000000e+02,2.614213181502427763e-01,2.377388269585214153e-01,2.926171985319068192e-01,8.645000223769953807e-28,2.989625723402694179e-04,1.132860275526489535e-05,1.684850491490264392e-03,2.090516061052901442e+00,8.835594388120915355e-01,1.119502557350466861e-03,-3.069154302640512196e-04,-8.265910879155053889e-04,3.438722405893772927e-17,2.309082894511932937e-01,2.387542576749425993e-01,2.377386645381021069e-01,8.489696606059848882e-01,9.998363227104667406e-01,5.288329866178581584e-03,7.401301793663606077e-13
4.000000000000000083e-03,1.562500000000000000e+02,2.615038169458255291e-01,2.377350673697062322e-01,2.926296296348365744e-01,5.132487342244650890e-25,2.977668275207104114e-04,1.122255163199856069e-05,1.672272218629028981e-03,2.656399115921131315e+00,nan,8.964076938988876746e-04,-2.462180421016860491e-04,-6.614510309529882939e-04,5.388879471293634570e-17,2.308983579645138839e-01,2.387479404544549932e-01,2.377349041690260956e-01,8.503227316497277144e-01,9.998363855948697587e-01,4.317059296765068943e-03,nan
3.200000000000000153e-03,1.953125000000000000e+02,2.615869177603261098e-01,2.377357633182218266e-01,2.926420737497872349e-01,5.742593960991811368e-25,2.961099300500417216e-04,1.109411760184082166e-05,1.656381289164538841e-03,3.356851988992800795e+00,nan,7.177720343793416976e-04,-1.976001127113093667e-04,-5.292413630537305897e-04,6.153689247855749347e-17,2.308885271943983686e-01,2.387418551478815154e-01,2.377356001142939268e-01,8.520820810346029228e-01,9.998361116190819242e-01,3.540023989968721363e-03,nan
2.560000000000000209e-03,2.441406249999999716e+02,2.616778054054251790e-01,2.377398638025615130e-01,2.926556277440936493e-01,7.574093889269604736e-25,2.939717078481489864e-04,1.093883377539984826e-05,1.636763164969856632e-03,4.227606473839524703e+00,nan,5.747808717729143780e-04,-1.586712219025199992e-04,-4.234260301028393509e-04,6.626630461599034048e-17,2.308779092099802754e-01,2.387354110861993617e-01,2.377397012154122691e-01,8.542814334199695381e-01,9.998355555150818530e-01,2.918382984237161137e-03,nan
2.048000000000000341e-03,3.051757812499999432e+02,2.617827848207250896e-01,2.377467425178271809e-01,2.926712506638601830e-01,7.251101475433335043e-25,2.913093300083272096e-04,1.075192464779524670e-05,1.612901483034403409e-03,5.312822923249197693e+00,nan,4.603444266866378001e-04,-1.275058529523994723e-04,-3.387520542041075637e-04,1.115503068844641636e-16,2.308657362632471621e-01,2.387281085025863003e-01,2.377465810913520494e-01,8.569676598155733238e-01,9.998347427477769500e-01,2.421061657733009076e-03,nan
1.638400000000000360e-03,3.814697265624999432e+02,2.619079935731621345e-01,2.377560081640242573e-01,2.926898743560604199e-01,8.440617131327864719e-25,2.880656473117824100e-04,1.052845410963772216e-05,1.584219824014818610e-03,6.667023805708653050e+00,nan,3.687715175292818502e-04,-1.025568011643699246e-04,-2.710048284015898748e-04,2.003344757417835611e-16,2.308512703298727098e-01,2.387194753967850080e-01,2.377558484200713307e-01,8.601942490106325723e-01,9.998336805914290748e-01,2.023198960897532039e-03,nan
1.310720000000000461e-03,4.768371582031248295e+02,2.620599127393596905e-01,2.377673650866990729e-01,2.927124834703081491e-01,8.852148231758727718e-25,2.841766844433020814e-04,1.026359330085482747e-05,1.550129977999600926e-03,8.357246063367993472e+00,nan,2.954992714651126615e-04,-8.258276305396474381e-05,-2.168064450585535934e-04,3.936086900007140566e-16,2.308337376315382217e-01,2.387090218247198692e-01,2.377672075615328839e-01,8.640144130015865453e-01,9.998323661642477544e-01,1.704905103779436049e-03,nan
1.048576000000000499e-03,5.960464477539060226e+02,2.622457595836011901e-01,2.377804987913215984e-01,2.927401778765191809e-01,2.091322615047730138e-24,2.795794911881761390e-04,9.953021430636883500e-06,1.510091884891614274e-03,1.046534147116353708e+01,nan,2.368722531371091251e-04,-6.658883947181986425e-05,-1.734513791921574676e-04,7.894002801617346464e-16,2.308122774242869213e-01,2.386962040282963327e-01,2.377803440593035667e-01,8.684732640393282299e-01,9.998307929278116291e-01,1.450267602830235258e-03,nan
1.000000000000000021e-03,6.250000000000000000e+02,2.622904002645514154e-01,2.377834815316158257e-01,2.927468369265804338e-01,1.205642996621866067e-27,2.785056540568099778e-04,9.880774136249165438e-06,1.500771452677760430e-03,1.097636871760648525e+01,9.714201477979184096e-01,2.260074829764986042e-04,-6.362304602737070048e-05,-1.654183388386476180e-04,3.627850658369407205e-17,2.308071182477409722e-01,2.386931169120858898e-01,2.377833274720788370e-01,8.695064920416718524e-01,9.998304246278171270e-01,1.403082338900657478e-03,1.515565450915801193e-12
8.000000000000000383e-04,7.812500000000000000e+02,2.625286065078411557e-01,2.377981643295383196e-01,2.927824168855293063e-01,4.170705168721936330e-24,2.729800271041845435e-04,9.510515990654028467e-06,1.452976806434796032e-03,1.372574161016043170e+01,nan,1.812701722831761193e-04,-5.140205743096878748e-05,-1.323486291616914013e-04,1.788514041149372714e-15,2.307795510535274042e-01,2.386765797727793958e-01,2.377980138283077860e-01,8.747753537144788982e-01,9.998285322231170724e-01,1.208807566150160717e-03,nan
6.400000000000000524e-04,9.765624999999998863e+02,2.628208459885452708e-01,2.378133521728009736e-01,2.928261751664876233e-01,2.364361196528895234e-24,2.666554386376428915e-04,9.089571184193141138e-06,1.398589731101076592e-03,1.713803263785066378e+01,nan,1.454736527723295928e-04,-4.160812690232484917e-05,-1.059008796991076524e-04,3.366662275986821750e-15,2.307456338634104043e-01,2.386561366724046784e-01,2.378132059185655567e-01,8.807096346059535286e-01,9.998263816990882180e-01,1.053386820668855695e-03,nan
5.120000000000000853e-04,1.220703124999999773e+03,2.631786207758382012e-01,2.378279990779881836e-01,2.928799028145260830e-01,3.630834564354207737e-29,2.595342553833019750e-04,8.619175230005171698e-06,1.337755009657080408e-03,2.135714940170218057e+01,nan,1.168293867859499776e-04,-3.375443181553600819e-05,-8.475151997833729972e-05,2.059746297412259161e-17,2.307039539557867169e-01,2.386308786251489789e-01,2.378278577991872478e-01,8.872692086217097707e-01,9.998239916589554133e-01,9.290496253113178504e-04,nan
5.000000000000000104e-04,1.250000000000000000e+03,2.632210294937949446e-01,2.378294683053099046e-01,2.928862824552261879e-01,1.260292706291101382e-27,2.587318516714209415e-04,8.566414909258362442e-06,1.330927753603638889e-03,2.185965616662138089e+01,9.830156864828027974e-01,1.141435132959160335e-04,-3.301692790719772407e-05,-8.276934003388615945e-05,1.339197151720698548e-17,2.306990016837149882e-01,2.386278683387559052e-01,2.378293275990613076e-01,8.880002065013853363e-01,9.998237248522857668e-01,9.173929857951845790e-04,1.635636071029011873e-12
4.000000000000000192e-04,1.562500000000000000e+03,2.636668237736830012e-01,2.378418138527609305e-01,2.929534803145894539e-01,3.673254688862909408e-29,2.507784367677426364e-04,8.046264436963397167e-06,1.263574072082416155e-03,2.716580821747261965e+01,nan,9.175652726520168098e-05,-2.685947882358871418e-05,-6.625641871029786260e-05,2.135858338419507514e-17,2.306467905610780356e-01,2.385960243827531246e-01,2.378416789439503909e-01,8.951561790916150452e-01,9.998211120447783040e-01,8.202541393287632321e-04,nan
3.200000000000000262e-04,1.953124999999999773e+03,2.642082268815173496e-01,2.378500577107017233e-01,2.930354087820550291e-01,5.758872589328898485e-29,2.421626167774115909e-04,7.488986401019814544e-06,1.191311939108240844e-03,3.365446589472252725e+01,nan,7.383789978469802121e-05,-2.191262664191100218e-05,-5.305504386102404473e-05,2.038833942491114031e-17,2.305829993737966432e-01,2.385568850078455261e-01,2.378499293168066520e-01,9.027219283941596562e-01,9.998183565092914060e-01,7.425428249533960745e-04,nan
