zeta2,Q2,omega_star,beta1_star,absX1,absX3,linewidths_3Om_from_wminus,aug_residual
1.599999999999999928e-06,3.906250000000000000e+05,3.591357310001071501e-01,2.211854473008940669e-01,3.115036957214878388e-01,7.277706530364779454e-16,2.535219536039814425e+00,8.964300044388905875e-15
1.280000000000000027e-06,4.882812500000000000e+05,3.676082370159275414e-01,2.168918465386271976e-01,3.136373877041657154e-01,8.878577273332029640e-16,4.279930200053265743e+00,6.653717573523743073e-15
1.024000000000000064e-06,6.103515625000000000e+05,3.758839027429629054e-01,2.112616268532445385e-01,3.158407592454254287e-01,2.284344573199370477e-15,5.984107762933941643e+00,1.223153464515335548e-14
8.192000000000001357e-07,7.629394531249998836e+05,3.837267170068966449e-01,2.038223991202172125e-01,3.180672093738555750e-01,4.228802352341045687e-15,7.599150833106763869e+00,1.783429243647691100e-14
6.553600000000001721e-07,9.536743164062497672e+05,3.908995467261102141e-01,1.939756780663597358e-01,3.202669976861930445e-01,4.434119596365255845e-27,9.076227073999607597e+00,3.713002168128840806e-17
5.242880000000002012e-07,1.192092895507812034e+06,3.971824009740004269e-01,1.810804552724020466e-01,3.223907958832467613e-01,3.949772482345849708e-15,1.037003424644752059e+01,1.239106099006645803e-14
4.194304000000001716e-07,1.490116119384764927e+06,4.024004863070287930e-01,1.647372383534882190e-01,3.243905421627659158e-01,5.514721216973888134e-15,1.144457753274652845e+01,1.679903700393784047e-14
3.355443200000001584e-07,1.862645149230956100e+06,4.064699333659714253e-01,1.453060365579421642e-01,3.262173979502827059e-01,4.391379141029941855e-24,1.228258584461124769e+01,1.115502031558915279e-15
2.684354560000001267e-07,2.328306436538695358e+06,4.094499639589105344e-01,1.242215541356461728e-01,3.278267438487318386e-01,2.349607122341282190e-14,1.289625440018877711e+01,6.190530050432180470e-14
2.147483648000001014e-07,2.910383045673368964e+06,4.115345599340615168e-01,1.034713844226200635e-01,3.291933301509979426e-01,7.063490869598901566e-28,1.332552912357433961e+01,3.037403303948480519e-17
