F,omega_star,g_star,mean_x1,abs_X3
3.400000000000000244e-01,2.613167277240618924e-01,4.196476735299947865e-03,0.000000000000000000e+00,9.102293761794067017e-17
3.400000000000000244e-01,2.613430362010917274e-01,4.199633309728979802e-03,-1.116761474543474580e-03,1.397594157653930218e-23
3.200000000000000067e-01,2.605142249074752225e-01,1.988065917200525397e-03,0.000000000000000000e+00,4.273360293828707942e-23
3.200000000000000067e-01,2.605187115798481834e-01,1.988632412629656298e-03,-5.208203847668096314e-04,1.541509320656206248e-22
2.999999999999999889e-01,2.597280970551716917e-01,-3.604686511085571417e-09,0.000000000000000000e+00,2.750827506088940240e-21
2.999999999999999889e-01,2.597280970551698598e-01,-3.604686739465844235e-09,9.303390502719627393e-10,2.554641485839230950e-21
2.800000000000000266e-01,2.588578231591208700e-01,-1.756692748905480401e-03,0.000000000000000000e+00,4.073323549730914814e-25
2.800000000000000266e-01,2.588600961319801885e-01,-1.756509658011778377e-03,4.470271970742565595e-04,5.305967887418480970e-24
2.700000000000000178e-01,2.583038053257625255e-01,-2.527849806257338652e-03,0.000000000000000000e+00,8.440488969493957004e-20
2.700000000000000178e-01,2.583086119407720926e-01,-2.527731655715202263e-03,6.389518440148751494e-04,2.006830462659651657e-17
