omega,beta1,kappa,abs_X3,abs_X1,is_fold
1.588029432400434926e+00,2.748357681806959940e-01,1.714079201671278918e+00,1.686249620710837254e-25,2.803293632292084059e+00,0.000000000000000000e+00
1.584970896182666289e+00,2.748674231016404734e-01,1.704064466176731241e+00,8.113501265481196133e-25,2.795054223983613362e+00,0.000000000000000000e+00
1.581906015516925113e+00,2.748993324455371035e-01,1.694051507633934861e+00,8.373655639767387066e-26,2.786791927891790976e+00,0.000000000000000000e+00
1.578834789704359309e+00,2.749314987424623657e-01,1.684040493707662955e+00,2.251876197264657207e-25,2.778506679377158228e+00,0.000000000000000000e+00
1.575757218051476283e+00,2.749639245524785336e-01,1.674031593063711520e+00,1.089424719549184534e-25,2.770198413301598883e+00,0.000000000000000000e+00
1.572673299871149899e+00,2.749966124659662947e-01,1.664024975386575012e+00,3.364572674060032008e-25,2.761867064030451235e+00,0.000000000000000000e+00
1.569583034483586825e+00,2.750295651039557088e-01,1.654020811397303170e+00,3.287843209361390535e-25,2.753512565434748538e+00,0.000000000000000000e+00
1.566486421217248015e+00,2.750627851184572203e-01,1.644019272871524828e+00,6.540584099444337917e-25,2.745134850893574452e+00,0.000000000000000000e+00
1.563383459409725340e+00,2.750962751927984451e-01,1.634020532657641800e+00,2.433790560934406745e-25,2.736733853296511310e+00,0.000000000000000000e+00
1.560274148408568928e+00,2.751300380419599012e-01,1.624024764695211953e+00,2.979312465342092249e-25,2.728309505046230043e+00,0.000000000000000000e+00
1.557158487572054550e+00,2.751640764129086314e-01,1.614032144033483718e+00,1.074150252388874610e-24,2.719861738061196466e+00,0.000000000000000000e+00
1.554036476269905487e+00,2.751983930849402626e-01,1.604042846850143755e+00,2.302146548846876062e-26,2.711390483778504112e+00,0.000000000000000000e+00
1.550908113883935346e+00,2.752329908700074101e-01,1.594057050470203851e+00,8.809805910248460044e-26,2.702895673156858081e+00,0.000000000000000000e+00
1.547773399808649364e+00,2.752678726130684539e-01,1.584074933385112960e+00,2.702810133073190811e-25,2.694377236679659671e+00,0.000000000000000000e+00
1.544632333451750217e+00,2.753030411924139997e-01,1.574096675272010915e+00,3.350558476157232334e-25,2.685835104358284653e+00,0.000000000000000000e+00
1.541484914234594994e+00,2.753384995200131025e-01,1.564122457013204848e+00,4.239776780752478953e-25,2.677269205735460567e+00,0.000000000000000000e+00
1.538331141592552465e+00,2.753742505418441677e-01,1.554152460715795714e+00,1.186362780567532845e-25,2.668679469888827871e+00,0.000000000000000000e+00
1.535171014975292847e+00,2.754102972382329040e-01,1.544186869731530187e+00,3.396598358415591966e-25,2.660065825434656084e+00,0.000000000000000000e+00
1.532004533846982763e+00,2.754466426241902743e-01,1.534225868676814208e+00,4.665280216204047857e-25,2.651428200531698032e+00,0.000000000000000000e+00
1.528831697686383384e+00,2.754832897497402899e-01,1.524269643452929479e+00,1.673536594198826150e-25,2.642766522885259040e+00,0.000000000000000000e+00
1.525652505986857088e+00,2.755202417002597381e-01,1.514318381266442692e+00,9.451717778824752573e-26,2.634080719751382471e+00,0.000000000000000000e+00
1.522466958256263769e+00,2.755575015968038111e-01,1.504372270649809940e+00,3.894286147969542737e-25,2.625370717941271081e+00,0.000000000000000000e+00
1.519275054016747228e+00,2.755950725964386172e-01,1.494431501482172742e+00,4.244600262311353820e-25,2.616636443825850034e+00,0.000000000000000000e+00
1.516076792804398998e+00,2.756329578925617030e-01,1.484496265010351479e+00,1.761376770405240156e-25,2.607877823340560841e+00,0.000000000000000000e+00
1.512872174168812034e+00,2.756711607152333432e-01,1.474566753870053537e+00,4.964809876146161534e-26,2.599094781990317848e+00,0.000000000000000000e+00
1.509661197672479416e+00,2.757096843314889023e-01,1.464643162107247765e+00,5.059386536478319595e-25,2.590287244854696524e+00,0.000000000000000000e+00
1.506443862890078700e+00,2.757485320456613542e-01,1.454725685199783847e+00,3.493815479073826011e-25,2.581455136593320709e+00,0.000000000000000000e+00
1.503220169407587736e+00,2.757877071996904239e-01,1.444814520079175102e+00,2.117427148000394644e-25,2.572598381451474125e+00,0.000000000000000000e+00
1.499990116821258157e+00,2.758272131734311183e-01,1.434909865152610875e+00,3.742352858419053382e-26,2.563716903265936153e+00,0.000000000000000000e+00
1.496753704736424551e+00,2.758670533849613138e-01,1.425011920325172765e+00,4.153560925702964828e-26,2.554810625471047203e+00,0.000000000000000000e+00
1.493510932766124011e+00,2.759072312908699143e-01,1.415120887022232488e+00,2.003657279552938590e-25,2.545879471105032543e+00,0.000000000000000000e+00
1.490261800529561143e+00,2.759477503865621073e-01,1.405236968212100424e+00,4.596768501741339549e-25,2.536923362816537963e+00,0.000000000000000000e+00
1.487006307650349912e+00,2.759886142065331449e-01,1.395360368428842479e+00,1.876897202707032647e-25,2.527942222871474964e+00,0.000000000000000000e+00
1.483744453754570758e+00,2.760298263246501183e-01,1.385491293795324319e+00,2.194684519310798597e-25,2.518935973160088881e+00,0.000000000000000000e+00
1.480476238468610761e+00,2.760713903544282921e-01,1.375629952046476978e+00,1.739802450637000504e-25,2.509904535204309450e+00,0.000000000000000000e+00
1.477201661416770229e+00,2.761133099492846243e-01,1.365776552552754097e+00,4.671932808665634404e-25,2.500847830165411789e+00,0.000000000000000000e+00
1.473920722218639678e+00,2.761555888027993899e-01,1.355931306343818976e+00,4.198597384721217050e-25,2.491765778851927848e+00,0.000000000000000000e+00
1.470633420486217702e+00,2.761982306489559891e-01,1.346094426132430133e+00,4.007480912967823954e-25,2.482658301727887817e+00,0.000000000000000000e+00
1.467339755820770142e+00,2.762412392623745383e-01,1.336266126338557347e+00,3.759337052716460606e-25,2.473525318921376837e+00,0.000000000000000000e+00
1.464039727809408609e+00,2.762846184585373011e-01,1.326446623113702872e+00,3.630515558494334155e-25,2.464366750233384806e+00,0.000000000000000000e+00
1.460733336021371676e+00,2.763283720939950783e-01,1.316636134365434252e+00,9.799052437741372571e-25,2.455182515147021238e+00,0.000000000000000000e+00
