kappa,OmA,beta1A,X3A,X1A,OmB,beta1B,X3B,X1B
1.000000000000000056e-01,2.597280970367741859e-01,2.381542763447579980e-01,3.297273060849842840e-31,2.923570214800639278e-01,2.515208688156138628e-01,2.402218673595594711e-01,4.932994979262786595e-18,2.911254667583153544e-01
1.100000000000000006e-01,2.600396907060602558e-01,2.309925301899831418e-01,3.366353879340739523e-18,2.899511241830471930e-01,2.534195111901390018e-01,2.328876542839489194e-01,5.205357114586301490e-18,2.889650488996487465e-01
1.199999999999999956e-01,2.604075763717721981e-01,2.241399411404980668e-01,1.513057417672717027e-17,2.876204541127287961e-01,2.552911918213318088e-01,2.257698658731409069e-01,7.407197673949867683e-32,2.868639364201135966e-01
1.260000000000000009e-01,2.606260454043335950e-01,2.201774674580259661e-01,3.125254701273240919e-30,2.862526167091344886e-01,2.564309962784676600e-01,2.215913633873904387e-01,8.417261343543432007e-32,2.856350226916680168e-01
1.300000000000000044e-01,2.607548322109344840e-01,2.176014498382018991e-01,1.433492311622504471e-32,2.853507749395038928e-01,2.572137734360266381e-01,2.188372458817545718e-01,5.901396308504822250e-32,2.848309594673404943e-01
1.340000000000000080e-01,2.608507040702122137e-01,2.150843653507684416e-01,3.217536749567069024e-31,2.844539600572471572e-01,2.580342542404765460e-01,2.161001530865271636e-01,1.472372990954895870e-18,2.840416948346238257e-01
1.370000000000000107e-01,2.608764758208622636e-01,2.132443888541480093e-01,6.933454795076496226e-32,2.837809941207790621e-01,2.586988515846643799e-01,2.140484501915526361e-01,8.426189070391901557e-19,2.834629169575340613e-01
1.390000000000000124e-01,2.608446782375110073e-01,2.120509742192692171e-01,8.576496342034420682e-28,2.833282253402597539e-01,2.591923558729312127e-01,2.126703829819004132e-01,1.173823931897727485e-32,2.830872178811518758e-01
1.400000000000000133e-01,2.607968712938908418e-01,2.114709385897499683e-01,3.466383156715330930e-32,2.830980961979145949e-01,2.594714504286106949e-01,2.119715021945949296e-01,2.719296469498196614e-18,2.829049067174099208e-01
1.409999999999999865e-01,2.606983226070542226e-01,2.109134429420101986e-01,2.980593680657465446e-28,2.828611836773912147e-01,2.598015743802806754e-01,2.112546017661834641e-01,1.146460640751162956e-18,2.827305681619761701e-01
