omega,one_pathway,two_pathways_beta1_plus1pct,two_pathways_tuned
2.497281000000000084e-01,2.508861973348835376e-03,4.074298560289116028e-06,2.491908844696428074e-05
2.498530999999999946e-01,2.511832495748789543e-03,4.003465234214004321e-06,2.490791108497744804e-05
2.499781000000000086e-01,2.514810594313845234e-03,3.934010377539930774e-06,2.489560199962320054e-05
2.501031000000000226e-01,2.517796296766500793e-03,3.866810988197969836e-06,2.488200464094644397e-05
2.502281000000000089e-01,2.520789630891823001e-03,3.802904246458774633e-06,2.486694783785484310e-05
2.503530999999999951e-01,2.523790624530470456e-03,3.743504102510366237e-06,2.485024460982873792e-05
2.504781000000000368e-01,2.526799305571016119e-03,3.690014493233208696e-06,2.483169090622481317e-05
2.506031000000000231e-01,2.529815701941411608e-03,3.644036342204779616e-06,2.481106427418758236e-05
2.507281000000000093e-01,2.532839841599587166e-03,3.607364792120588424e-06,2.478812245785351310e-05
2.508530999999999955e-01,2.535871752523016862e-03,3.581972733697664881e-06,2.476260193373838573e-05
2.509780999999999818e-01,2.538911462697174878e-03,3.569977002078356821e-06,2.473421638946608954e-05
2.511031000000000235e-01,2.541959000102902381e-03,3.573585021634517626e-06,2.470265515618719703e-05
2.512281000000000097e-01,2.545014392702380987e-03,3.595022444441682351e-06,2.466758160871828832e-05
2.513530999999999960e-01,2.548077668423760940e-03,3.636446266438772320e-06,2.462863155177319430e-05
2.514781000000000377e-01,2.551148855144227609e-03,3.699852177971593366e-06,2.458541161578719643e-05
2.516031000000000240e-01,2.554227980671408289e-03,3.786988070179679450e-06,2.453749769199118811e-05
2.517281000000000102e-01,2.557315072722918508e-03,3.899286166693616738e-06,2.448443344335085378e-05
2.518315771315002838e-01,2.559876666920859675e-03,4.012064112571587503e-06,2.443626115493781841e-05
2.518530999999999964e-01,2.560410158904022696e-03,4.037823415536887210e-06,2.442572893567517442e-05
2.519780999999999826e-01,2.563513266683028861e-03,4.203314177320981575e-06,2.436085944247535153e-05
2.521031000000000244e-01,2.566624423364480614e-03,4.396132732252559684e-06,2.428926448658358180e-05
2.522281000000000106e-01,2.569743656059797834e-03,4.616357884812776049e-06,2.421034719232158811e-05
2.523530999999999969e-01,2.572870991655233294e-03,4.863829406298758758e-06,2.412347403316909115e-05
2.524781000000000386e-01,2.576006456776821704e-03,5.138206376429596092e-06,2.402797507117935251e-05
2.526031000000000248e-01,2.579150077752518939e-03,5.439019796789710161e-06,2.392314479570515799e-05
2.527281000000000111e-01,2.582301880570645001e-03,5.765714914931520476e-06,2.380824367928462246e-05
2.528530999999999973e-01,2.585461890835020603e-03,6.117681521518743396e-06,2.368250057718594207e-05
2.529780999999999835e-01,2.588630133716359784e-03,6.494272541397746387e-06,2.354511610281031773e-05
2.531031000000000253e-01,2.591806633899748549e-03,6.894812445880024641e-06,2.339526711346022169e-05
2.532281000000000115e-01,2.594991415527792781e-03,7.318597523059487252e-06,2.323211243679698822e-05
2.533530999999999977e-01,2.598184502139873429e-03,7.764890097299177911e-06,2.305479995796957284e-05
2.534781000000000395e-01,2.601385916606654622e-03,8.232908601352640729e-06,2.286247516812029370e-05
2.534925926587260903e-01,2.601757632426970283e-03,8.288539171785971435e-06,2.283916682752178739e-05
2.536031000000000257e-01,2.604595681060375978e-03,8.721815127210053584e-06,2.265429124404550948e-05
2.537281000000000120e-01,2.607813816820640264e-03,9.230701804299935813e-06,2.242942068860827935e-05
2.538530999999999982e-01,2.611040344315763203e-03,9.758577118894073185e-06,2.218706850538407029e-05
2.539780999999999844e-01,2.614275283000040608e-03,1.030435310505787142e-05,2.192648681468567303e-05
2.541031000000000262e-01,2.617518651267188717e-03,1.086683420165113175e-05,2.164699073731619081e-05
2.542281000000000124e-01,2.620770466360408755e-03,1.144470846645476679e-05,2.134797528336972037e-05
2.543530999999999986e-01,2.624030744279907956e-03,1.203654175317743225e-05,2.102893288619204823e-05
2.544781000000000404e-01,2.627299499688779544e-03,1.264077537215494284e-05,2.068947112426309409e-05
2.546031000000000266e-01,2.630576745818565682e-03,1.325572766154953323e-05,2.032933008166930815e-05
2.547281000000000128e-01,2.633862494376162672e-03,1.387959978029089367e-05,1.994839871955249799e-05
2.548042173682932843e-01,2.635867484118232986e-03,1.426306152448611861e-05,1.970626534411848739e-05
2.548530999999999991e-01,2.637156755454094122e-03,1.451048589408781116e-05,1.954672957547937809e-05
2.549780999999999853e-01,2.640459537446757186e-03,1.514638775954930649e-05,1.912455108421554854e-05
2.551031000000000271e-01,2.643770846975883673e-03,1.578523352267164072e-05,1.868227682921090311e-05
2.552281000000000133e-01,2.647090688828789961e-03,1.642490034619483309e-05,1.822051109491699034e-05
2.553530999999999995e-01,2.650419065914121595e-03,1.706324027704767424e-05,1.774005019873671428e-05
2.554781000000000413e-01,2.653755979240243843e-03,1.769810857443854197e-05,1.724187923445381134e-05
2.556031000000000275e-01,2.657101427922521457e-03,1.832739356034463187e-05,1.672716405005708192e-05
2.557281000000000137e-01,2.660455409226070937e-03,1.894904693877166732e-05,1.619723850181321634e-05
2.558399448196919113e-01,2.663463641951290331e-03,1.949720574817635603e-05,1.571140109040335833e-05
2.558531000000000000e-01,2.663817918652256009e-03,1.956111347331418131e-05,1.565358725500750172e-05
2.559780999999999862e-01,2.667188950077103819e-03,2.016175892156941301e-05,1.509782462566461208e-05
2.561031000000000279e-01,2.670568495951031879e-03,2.074929520109348996e-05,1.453167015623791534e-05
2.562281000000000142e-01,2.673956547569436744e-03,2.132220190049061956e-05,1.395692177746789576e-05
2.563531000000000004e-01,2.677353095424114728e-03,2.187914344153548641e-05,1.337542751352452520e-05
2.564781000000000422e-01,2.680758129644838800e-03,2.241898142570573329e-05,1.278905673371226889e-05
2.566031000000000284e-01,2.684171640540028089e-03,2.294078194521631767e-05,1.219967193607852600e-05
2.566578093702421848e-01,2.685668313384204434e-03,2.316329278803389434e-05,1.194123407518208345e-05
2.567281000000000146e-01,2.687593619243478817e-03,2.344381788354435724e-05,1.160910197474265235e-05
2.568531000000000009e-01,2.691024058472000439e-03,2.392756645602111030e-05,1.101911751843106979e-05
