F,abs_X1,omega_star,beta1_star,arg_xi_lo,im_eta3,im_eta5,ratio_vs_xi_lo,ratio_vs_residual_phase
3.499999999999999778e-01,3.414050456370187892e-01,2.617842546010588078e-01,2.436127724587256460e-01,4.492417878613316935e-03,-1.719856250590203611e-03,-2.852055641001440336e-03,6.348598278399225636e-01,1.028671684760712690e+00
3.400000000000000244e-01,3.315868303301038877e-01,2.613457847146090640e-01,2.424085556817408005e-01,4.471397289743312894e-03,-1.602925949633896528e-03,-2.942492236812940462e-03,6.580699602700386119e-01,1.025804997828808851e+00
3.200000000000000067e-01,3.119656322932807258e-01,2.605254684004937316e-01,2.401700881804312293e-01,4.432469177168735057e-03,-1.387315217450777512e-03,-3.109599416552857529e-03,7.015501500992121775e-01,1.021163283593342186e+00
2.999999999999999889e-01,2.923570214800825240e-01,2.597280970368968656e-01,2.381542763447336564e-01,4.395119434164907433e-03,-1.193054784101147108e-03,-3.258544647805733038e-03,7.414007051721612784e-01,1.017638618802043204e+00
2.899999999999999800e-01,2.825537449849543359e-01,2.593094672344222751e-01,2.372321963835306857e-01,4.375700373801926640e-03,-1.102925009326930113e-03,-3.325848666655607192e-03,7.600723044402302175e-01,1.016216604034821724e+00
2.800000000000000266e-01,2.727475407405799412e-01,2.588476527125009308e-01,2.363734103069608516e-01,4.354427821158775649e-03,-1.016870704852313465e-03,-3.387639630889578875e-03,7.779758374748027006e-01,1.015005740078102514e+00
2.700000000000000178e-01,2.629314378231127347e-01,2.582847079895661535e-01,2.355931125791196068e-01,4.328706882501628071e-03,-9.341498448787255784e-04,-3.442172436507175311e-03,7.951964708956891226e-01,1.014026984480312699e+00
2.650000000000000133e-01,2.580132497387490620e-01,2.579127859054292093e-01,2.352471511483930078e-01,4.311838907093721446e-03,-8.934755617255311271e-04,-3.465048219603298740e-03,8.036126335570409340e-01,1.013657083673789483e+00
2.600000000000000089e-01,2.530719979103889239e-01,2.573502126525887279e-01,2.349678643219576812e-01,4.286511186991068256e-03,-8.519157963336357157e-04,-3.480813203682965595e-03,8.120387540913743818e-01,1.013456552451928339e+00
2.580000000000000071e-01,2.510616066110348266e-01,2.568565466556009258e-01,2.349360441902009766e-01,4.264469080516506555e-03,-8.327862715883823904e-04,-3.478258230353537157e-03,8.156368740589521327e-01,1.013572181352029089e+00
