beta1,ReX3_knl0,ImX3_knl0,absX3_knl0,absX1_knl0,ReX3_knlON,ImX3_knlON,absX3_knlON,absX1_knlON
2.000000000000000042e-02,-2.550690422619912904e-04,-1.827067460100764354e-05,2.557225720792464445e-04,2.919482441842509712e-01,3.084442286321438086e-03,2.543938633233412032e-04,3.094915258184688205e-03,2.965688138695686815e-01
2.999999999999999889e-02,-3.808996055322324019e-04,-2.723093677687300047e-05,3.818717499532484180e-04,2.917678065393685682e-01,2.928874401928071702e-03,2.407893118488958696e-04,2.938755647373592593e-03,2.963653244374455098e-01
4.000000000000000083e-02,-5.056131403988270304e-04,-3.607751657350034537e-05,5.068986436617039983e-04,2.915881865789119454e-01,2.774793203660926456e-03,2.273956948469000163e-04,2.784095207624511653e-03,2.961629183274890331e-01
5.000000000000000278e-02,-6.292235442106416552e-04,-4.481262860220657309e-05,6.308172796232207249e-04,2.914093756153746662e-01,2.622178147103759478e-03,2.142089284434743569e-04,2.630913092478238090e-03,2.959615820217053606e-01
5.999999999999999778e-02,-7.517444728574469281e-04,-5.343844014941699400e-05,7.536414395170448191e-04,2.912313651092525157e-01,2.471009089758962989e-03,2.012250272723943838e-04,2.479188865994721904e-03,2.957613022695882443e-01
7.000000000000000666e-02,-8.731893462207141170e-04,-6.195707246659984922e-05,8.753846658366764774e-04,2.910541466656012544e-01,2.321266280740258078e-03,1.884401015176414933e-04,2.328902492154124194e-03,2.955620660809604727e-01
8.000000000000000167e-02,-9.935713534710681211e-04,-7.037060201887627043e-05,9.960602672864876488e-04,2.908777120306951236e-01,2.172930350797449683e-03,1.758503540618510102e-04,2.180034324601428600e-03,2.953638607190551268e-01
9.000000000000001055e-02,-1.112903458217993653e-03,-7.868106169364938994e-05,1.115681324027076099e-03,2.907020530887817755e-01,2.025982302660430962e-03,1.634520777362972641e-04,2.032565096721277321e-03,2.951666736938250990e-01
1.000000000000000056e-01,-1.231198403516414481e-03,-8.689044197090729034e-05,1.234260692774126738e-03,2.905271618589301275e-01,1.880403501689786178e-03,1.512416526681997970e-04,1.886475912029893318e-03,2.949704927554737122e-01
1.100000000000000006e-01,-1.348468716735080376e-03,-9.500069205671414615e-05,1.351811011755862631e-03,2.903530304919694771e-01,1.736175666822665402e-03,1.392155437211917287e-04,1.741748234872283075e-03,2.947753058881968924e-01
1.200000000000000094e-01,-1.464726714291270625e-03,-1.030137209809039778e-04,1.468344705533694951e-03,2.901796512675146045e-01,1.593280861802248791e-03,1.273702980253341155e-04,1.598363881412608479e-03,2.945811013041287341e-01
1.300000000000000044e-01,-1.579984506256482905e-03,-1.109313986607547703e-04,1.583873989690901245e-03,2.900070165910755837e-01,1.451701486680311622e-03,1.157025425927682666e-04,1.456305010906801256e-03,2.943878674374826310e-01
1.399999999999999856e-01,-1.694254000836949506e-03,-1.187555569313847689e-04,1.698410875393258123e-03,2.898351189912485859e-01,1.311420269582558524e-03,1.042089820156872758e-04,1.315554117246696972e-03,2.941955929388802016e-01
1.499999999999999944e-01,-1.807546908733424166e-03,-1.264879905444561345e-04,1.811967173826206949e-03,2.896639511169855630e-01,1.172420258726819455e-03,9.288639624334501155e-05,1.176094020765405378e-03,2.940042666698610696e-01
1.600000000000000033e-01,-1.919874747383934271e-03,-1.341304581361712166e-04,1.924554500512350944e-03,2.894935057349393714e-01,1.034684814684994720e-03,8.173163843472741467e-05,1.037907860294422745e-03,2.938138776975663946e-01
1.699999999999999845e-01,-2.031248845093364900e-03,-1.416846831656442477e-04,2.036184279513246227e-03,2.893237757268825039e-01,8.981976028792711293e-04,7.074163288410140074e-05,9.009790854626858591e-04,2.936244152895900461e-01
1.799999999999999933e-01,-2.141680345053655326e-03,-1.491523548248038680e-04,2.146867747519378214e-03,2.891547540871969302e-01,7.629425863046661272e-04,5.991337301632094337e-05,7.652914492292761488e-04,2.934358689089900940e-01
1.900000000000000022e-01,-2.251180209257650465e-03,-1.565351289206789195e-04,2.256615957831445678e-03,2.889864339204324395e-01,6.289040184690362044e-04,4.924391944939143610e-05,6.308290006406172936e-04,2.932482282094559523e-01
1.999999999999999833e-01,-2.359759222310588676e-03,-1.638346287311889826e-04,2.365439784237037286e-03,2.888188084389310406e-01,4.960664365432208194e-04,3.873039812149202160e-05,4.975760778045288865e-04,2.930614830306242924e-01
2.099999999999999922e-01,-2.467427995141924929e-03,-1.710524458353460055e-04,2.473349924785482688e-03,2.886518709605162547e-01,3.644146547134349671e-04,2.836999847989658135e-05,3.655173010729606607e-04,2.928756233935388975e-01
2.200000000000000011e-01,-2.574196968621024050e-03,-1.781901409186722389e-04,2.580356905464491375e-03,2.884856149062439701e-01,2.339337577288798831e-04,1.815997172962797670e-05,2.346375664261270003e-04,2.926906394962485725e-01
2.250000000000000056e-01,-2.627247247743028438e-03,-1.817294221621100058e-04,2.633524954059234327e-03,2.884027403849289684e-01,1.691278024743898443e-04,1.311050565913328357e-05,1.696351936611456709e-04,2.925984729342636093e-01
2.260000000000000064e-01,-2.637830729965866695e-03,-1.824349373470340386e-04,2.644131892761227877e-03,2.883861856583231353e-01,1.562011386563831865e-04,1.210501370587634388e-05,1.566694835453608570e-04,2.925800655001618011e-01
2.270000000000000073e-01,-2.648405377932331207e-03,-1.831396756834179854e-04,2.654729964924930092e-03,2.883696376427078989e-01,1.432859503047714735e-04,1.110098269587732423e-05,1.437153275456574421e-04,2.925616666700653901e-01
