force,omega,beta1,abs_X1,abs_X3
5.873581129287495095e-01,5.635591889887413969e-02,2.843669784301282033e-01,5.365474992189021020e-01,2.046700169326743586e-25
5.857231304065148025e-01,6.617955468352947068e-02,2.841908294680564051e-01,5.356564681097867320e-01,1.259907231976006218e-25
5.838055715772432208e-01,7.593450852330668743e-02,2.839803622636024039e-01,5.345966419732111063e-01,7.045794224523846155e-25
5.815940490915940675e-01,8.560447971075829665e-02,2.837320900951380009e-01,5.333532647632759360e-01,3.808749345757412863e-25
5.790715649900602946e-01,9.516838415117481742e-02,2.834410318997062639e-01,5.319052401155867082e-01,8.210763291808745116e-25
5.762112358611664042e-01,1.045964733061170715e-01,2.830996404933879829e-01,5.302206087758801756e-01,7.645621691862235580e-25
5.729663638119396607e-01,1.138411057788514535e-01,2.826953048666405732e-01,5.282460684590105648e-01,9.497177492157210266e-24
5.692432369190381092e-01,1.228099997035542457e-01,2.822034377591699505e-01,5.258781734009179143e-01,7.362178128803755588e-27
5.648146800820958990e-01,1.312689886157754893e-01,2.815649253235963378e-01,5.228702099533218961e-01,2.989986621225406363e-25
5.591379183268032627e-01,1.384442840075180703e-01,2.806303953587446220e-01,5.186076764789294691e-01,7.708875831885536621e-26
5.522108116100841180e-01,1.428259916476498637e-01,2.793350423443456410e-01,5.128532693705917245e-01,1.209175306599238944e-27
5.449458449762210055e-01,1.450479147019471948e-01,2.779009964624432061e-01,5.064965732089647954e-01,7.828940507653299586e-28
5.376367192298923126e-01,1.463709909212864979e-01,2.764466938096453719e-01,4.999696256813984108e-01,8.525724566893692832e-25
5.315405453202324271e-01,1.471783581488408099e-01,2.752426090119097779e-01,4.944792889356924848e-01,4.353677514560560720e-26
5.271868849932114243e-01,1.476810975402426673e-01,2.743909653672511051e-01,4.905448531834361026e-01,9.592446901766703271e-28
5.240774785280373216e-01,1.480312071724081413e-01,2.737874328807538560e-01,4.877319431160527241e-01,2.686492728703668174e-26
